trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,26.007736700004898,26.007736700004898,space,55.55726000003051,,,,,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,0,0,0,0,,,,,81.66564259992447,81.66564259992447,84.07817778998287,84.17771760001779,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,1,0,1,0,,,,,94.18471840000711,94.18471840000711,96.56573789002141,96.69956059998367,106.58964259992354,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,2,0,2,0,,,,,106.6902073000092,106.6902073000092,109.07307998993201,109.20515709999017,119.09635629993863,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,3,0,3,0,,,,,119.19429120002314,119.19429120002314,121.57941428996855,121.7301786999451,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,4,0,4,0,,,,,131.68221569992602,131.68221569992602,134.08588398998836,134.19972439995036,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,5,0,5,0,,,,,144.2062335999217,144.2062335999217,146.57063418993494,146.71980049996637,156.5931437999243,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,6,0,6,0,,,,,156.69373950001318,156.69373950001318,159.07399698992958,159.2077906000195,169.09779579995666,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,7,0,7,0,,,,,169.19932260003407,169.19932260003407,171.57958088995656,171.71252990001813,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,8,0,8,0,,,,,181.68560049997177,181.68560049997177,184.0698244899395,184.20083839993458,194.09059079992585,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,9,0,9,0,,,,,194.1738852999406,194.1738852999406,196.57279788999585,196.6724992999807,206.60081899992656,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,10,0,10,0,,,,,206.71602369996253,206.71602369996253,209.065590389946,209.2349279000191,219.08681270002853,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,11,0,11,0,,,,,219.18488459999207,219.18488459999207,221.56580988998758,221.6988833999494,231.58987779996824,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,12,0,12,0,,,,,231.6886546999449,231.6886546999449,234.07257878995733,234.1911500999704,244.0944169999566,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,13,0,13,0,,,,,244.19383709994145,244.19383709994145,246.57695088995388,246.7090597000206,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,14,0,14,0,,,,,256.6837431000313,256.6837431000313,259.08214029000374,259.20150959992316,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,15,0,15,0,,,,,269.1881209999556,269.1881209999556,271.56922818993917,271.7042098999955,281.5947235999629,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,16,0,16,0,,,,,281.69255799998064,281.69255799998064,284.0783856899361,284.2088639999274,294.09801389998756,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,17,0,17,0,,,,,294.20007319992874,294.20007319992874,296.5814536900143,296.7147788000293,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,18,0,18,0,,,,,306.6860552999424,306.6860552999424,309.06915758998366,309.2001972999424,319.09073699999135,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,19,0,19,0,,,,,319.19076319993474,319.19076319993474,321.57529309001984,321.71232179994695,331.59989569999743,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,20,0,20,0,,,,,331.67858780000824,331.67858780000824,334.0974817899405,334.2148760999553,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,21,0,21,0,,,,,344.18670139997266,344.18670139997266,346.56686899001943,346.6865543000167,356.58867389999796,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,22,0,22,0,,,,,356.68927760003135,356.68927760003135,359.071398889937,359.2035221999977,369.0935954999877,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,23,0,23,0,,,,,369.19401690002996,369.19401690002996,371.5792964900029,371.7092723000096,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,24,0,24,0,,,,,382.26211090001743,382.26211090001743,384.080207389954,384.7641496999422,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
0,0,0,0,,,,,,,,,,,,,,394.1035334999906,394.1035334999906,space,4.495619299937971,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,0,0,0,0,,,,,398.70007989997976,398.70007989997976,401.11429658991983,401.21704479993787,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,1,0,1,0,,,,,411.220951700001,411.220951700001,413.6046034899191,413.7362524999771,423.62732269999105,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,2,0,2,0,,,,,423.7432860999834,423.7432860999834,426.1092034900212,426.2580949999392,436.1309682999272,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,3,0,3,0,,,,,436.23204089992214,436.23204089992214,438.6138259899453,438.74692700000014,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,4,0,4,0,,,,,448.7191372999223,448.7191372999223,451.10115328995744,451.2350281999679,461.1273523999844,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,5,0,5,0,,,,,461.22407959995326,461.22407959995326,463.6068817899213,463.73981589998584,473.62932780000847,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,6,0,6,0,,,,,473.7465629000217,473.7465629000217,476.11082028999226,476.2448498000158,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,7,0,7,0,,,,,486.2345211999491,486.2345211999491,488.6165007899399,488.73223359999247,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,8,0,8,0,,,,,498.72324339998886,498.72324339998886,501.10613398993155,501.2375805999618,511.1282569000032,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,9,0,9,0,,,,,511.22754360002,511.22754360002,513.6118175900192,513.7272017999785,523.6347112000221,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,10,0,10,0,,,,,523.7336651999503,523.7336651999503,526.118820690026,526.2324229999213,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,11,0,11,0,,,,,536.2380745999981,536.2380745999981,538.6038970900117,538.7548594999826,548.6262916999403,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,12,0,12,0,,,,,548.7269818999339,548.7269818999339,551.108291589946,551.2262408999959,561.1307745999657,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,13,0,13,0,,,,,561.2314326999476,561.2314326999476,563.6134362900048,563.7305831999984,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,14,0,14,0,,,,,573.7188422000036,573.7188422000036,576.1017742900294,576.2176192000043,586.1241368999472,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,15,0,15,0,,,,,586.2253345999634,586.2253345999634,588.6101402899367,588.7228224999271,598.6317473999225,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,16,0,16,0,,,,,598.7493821999524,598.7493821999524,601.1112477899878,601.2616436999524,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,17,0,17,0,,,,,611.234029199928,611.234029199928,613.6170533899567,613.7328005000018,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,18,0,18,0,,,,,623.7227793999482,623.7227793999482,626.1054168899427,626.23798049998,636.1272904999787,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,19,0,19,0,,,,,636.2282363999402,636.2282363999402,638.6102637899457,638.7443641999271,648.6324987999396,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,20,0,20,0,,,,,648.7496462999843,648.7496462999843,651.1142578899744,651.2659029000206,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,21,0,21,0,,,,,661.2247236999683,661.2247236999683,663.605442990025,663.7396226000274,673.6259808000177,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,22,0,22,0,,,,,673.7252831999213,673.7252831999213,676.1101394899306,676.2405127999373,686.1348831999348,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,23,0,23,0,,,,,686.2322287999559,686.2322287999559,688.6128957899637,688.7462079999968,,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
1,0,1,0,24,0,24,0,,,,,698.7191122999648,698.7191122999648,701.1036497899913,701.2337117999559,711.1249222999904,,,,,LeviHuginShield,001,2023-10-06_17h33.19.926,ASSR2,2022.2.5,61.15557119631284,
,,,,,,,,,,,,,,,,,711.1418849999318,711.1418849999318,,,,,,,,,
