trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.694356299998617,25.694356299998617,space,151.6907710000014,,,,,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
0,0,0,0,0,0,0,0,,,,,177.47114370000054,177.47114370000054,187.40554380999782,187.47302779999882,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
0,0,0,0,1,0,1,0,,,,,247.51678529999845,247.51678529999845,257.400710709998,257.5176844999987,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
0,0,0,0,2,0,2,0,,,,,317.49628049999956,317.49628049999956,327.3974608099972,327.49797079999917,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
0,0,0,0,3,0,3,0,,,,,387.50916849999703,387.50916849999703,397.39388500999956,397.5154401,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
0,0,0,0,4,0,4,0,,,,,457.4717191999989,457.4717191999989,467.4056458099996,467.4720054999998,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
0,0,0,0,,,,,,,,,,,,,527.4353000999981,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
1,0,1,0,0,0,0,0,,,,,532.4834598999987,532.4834598999987,542.4004021099984,542.4841100999984,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
1,0,1,0,1,0,1,0,,,,,602.5137819999982,602.5137819999982,612.3978588099974,612.5156931999991,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
1,0,1,0,2,0,2,0,,,,,672.475159499998,672.475159499998,682.3926876099988,682.4755667999998,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
1,0,1,0,3,0,3,0,,,,,742.5380716999971,742.5380716999971,752.3922750100003,752.5421943999972,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
1,0,1,0,4,0,4,0,,,,,812.5514072000005,812.5514072000005,822.4011587100006,822.5500317000005,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
1,0,1,0,,,,,,,,,,,,,882.4503794999982,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
2,0,2,0,0,0,0,0,,,,,887.4788846999982,887.4788846999982,897.3976670099994,897.4812450999998,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
2,0,2,0,1,0,1,0,,,,,957.4907275999976,957.4907275999976,967.3926498099984,967.4926336999997,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
2,0,2,0,2,0,2,0,,,,,1027.4872613999978,1027.4872613999978,1037.404781909999,1037.4880305000006,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
2,0,2,0,3,0,3,0,,,,,1097.4995584999997,1097.4995584999997,1107.4003614099977,1107.5009742999973,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
2,0,2,0,4,0,4,0,,,,,1167.8186241999974,1167.8186241999974,1177.3996923099996,1177.832850499999,,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
2,0,2,0,,,,,,,,,,,,,1237.4252204999975,,,LeviHuginShield,001,2023-10-16_15h57.01.559,ASSR3,2022.2.5,60.557871221186815,
,,,,,,,,,,,,,,,,,1242.4095414999974,1242.4095414999974,,,,,,,
