trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.stopped,response.keys,response.corr,feedback_text.started,fixation.stopped,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,23.411671299982117,23.411671299982117,space,1.421050800010562,,,,,,,,,,,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,1,,,,,,,,,24.877305099973455,25.860921799991047,25.86064803999907,27.360697799973423,28.860627599991858,None,1,28.877293999976246,,,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,0,,,,,,,,,29.87732679999317,30.845094399992377,30.845344440001647,32.3456197999767,33.84569849999389,None,1,33.86168129998259,,,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,2,,,,,,,,,34.861363499978324,35.845268599980045,35.84531843997829,,38.86053839998203,None,1,38.86053839998203,38.86053839998203,39.860570899996674,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,3,3,3,,,,,,,,,39.860570899996674,40.86106129997643,40.860670639996535,42.36057299998356,43.860650399990845,None,0,43.860650399990845,43.860650399990845,44.86100129998522,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
,,,,,,,,,,,,,,,,,,,,,,,,,,44.86100129998522,44.86100129998522,space,9.747892499988666,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,0,0,3,,,,,54.64389749997645,55.62728639997658,55.62712463999342,,58.627379099983955,t,1,,,,,,,,1.5091516000102274,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,1,1,0,,,,,58.64406809999491,59.627464199991664,59.62749183999549,61.12732419997337,62.62728839999181,None,1,,,,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,2,2,2,,,,,62.64393879999989,63.62745999998879,63.627523040000234,65.12729730000137,66.62742489998345,None,1,,,,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,0,3,3,1,,,,,66.6440714999917,67.62745549998363,67.62756173997477,,70.62748519997695,None,1,,,,,,,,,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,0,4,3,,,,,70.64444469998125,71.62743059999775,71.62737443997466,73.12717299998621,74.6272195999918,t,1,,,,,,,,0.9166288999840617,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,74.64381829998456,75.62730079999892,75.62745743999548,,78.62739049998345,t,1,,,,,,,,1.0052518000011332,testnone2,001,2023-09-26_11h38.18.216,Oddball_task,2022.2.5,60.13008542683809,
,,,,,,,,,,,,,,,,78.64390639998601,79.6272772999946,79.62732863997516,81.12712729998748,,,,,,,,,,,,,,,,,,
