trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,18.193017000012333,18.193017000012333,space,0.9910339999914868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,,,,,,,,,,,,,19.206216300008236,20.205536500012386,20.205536500012386,20.205536500012386,space,6.770473299984587,,,,,,,,,,,,,,,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,26.998924300001818,26.998924300001818,29.01372820000688,30.012111100004404,None,30.012111100004404,30.012111100004404,1,310.44309998105746,space,0.31044309998105746,30.345351600000868,30.844578300006106,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,30.844578300006106,30.844578300006106,30.844578300006106,31.843747500010068,None,31.843747500010068,31.843747500010068,1,383.95499999751337,space,0.38395499999751337,32.243273100000806,32.742874800009304,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,32.742874800009304,32.742874800009304,33.743223299999954,34.7581024000101,None,34.7581024000101,34.7581024000101,1,281.7950999888126,space,0.2817950999888126,35.05804000000353,35.557717900010175,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,35.557717900010175,35.557717900010175,37.571986599999946,38.57131850000587,None,38.57131850000587,38.57131850000587,1,258.0669999879319,space,0.2580669999879319,38.85410880000563,39.35464980000688,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.35464980000688,39.35464980000688,space,2.2683995999977924,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.65145130000019,41.65145130000019,0,6,4.273930099996505,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.29675910000515,46.29675910000515,,None,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,,,,,,,,,,,,,,,71.44077230000403,71.44077230000403,space,18.03393329998653,,,,,,,,,,,,,,,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,1,89.50728860001254,89.50728860001254,89.50728860001254,90.5066203000024,None,90.5066203000024,90.5066203000024,1,335.9251999791013,space,0.3359251999791013,90.8722787000006,91.37207570001192,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,3,91.37207570001192,91.37207570001192,93.38671820001036,94.3861625999998,None,94.3861625999998,94.3861625999998,1,251.79969999589957,space,0.2517996999958996,94.65215780001017,95.15169810000225,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,2,95.15169810000225,95.15169810000225,96.15103930000623,97.16705590000493,None,97.16705590000493,97.16705590000493,1,329.9828999879537,space,0.3299828999879537,97.51638700001058,98.0324421000114,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,4,98.0324421000114,98.0324421000114,101.04658650000056,102.04521790001309,None,102.04521790001309,102.04521790001309,1,248.57019998307806,space,0.24857019998307806,102.312073100009,102.81198880000738,,,,,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.81198880000738,102.81198880000738,space,9.459520099975634,,,,,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3023380000086,112.3023380000086,,None,,868577,001,2023-12-12_14h54.39.849,game,2022.2.5,60.055984191772886,
