trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,feedback_text.stopped,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.069133700046223,11.069133700046223,space,1.798210899985861,,,,,,,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,1,,,,,,,,,12.897954400046729,13.897136600047816,13.897056420019362,s,1,4.276868999993894,18.19270450004842,19.192041800008155,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,0,,,,,,,,,19.192041800008155,20.190740400052164,20.191287920030298,s,1,1.9723214999539778,22.189874800038524,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,2,,,,,,,,,23.205218200047966,24.187266000022646,24.187184820044784,s,1,4.057817499968223,28.267059400037397,29.26579880004283,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,3,3,3,,,,,,,,,29.26579880004283,30.264718100021128,30.264640620013232,s,0,3.0333720999769866,33.3284831000492,34.32778360001976,31.279950399999507,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
,,,,,,,,,,,,,,,,,,,,,,,,,34.32778360001976,34.32778360001976,space,1.7455970000009984,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,0,0,3,,,,,36.09285750001436,37.09201090002898,37.092057720036244,s,0,3.0039294000016525,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,1,1,3,,,,,40.12249380000867,41.121442100033164,41.12123821999412,s,0,2.9868603000068106,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,2,,,,,44.1351990000112,45.134784000052605,45.13456512001576,s,1,0.4416621999698691,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,0,,,,,45.61687190004159,46.61662420001812,46.61639782004058,s,1,0.35741489997599274,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,1,,,,,47.01582590001635,48.01479129999643,48.01518312001135,s,1,0.09803329996066168,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,1,5,2,,,,,48.147966300020926,49.14731190004386,49.14745482002618,s,1,0.3229766000295058,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,1,,,,,49.51318370003719,50.49615420005284,50.49574652003357,s,1,0.3392277999664657,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,2,,,,,50.87846930004889,51.87802600004943,51.87734072001185,s,1,0.23901899997144938,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,1,,,,,52.16096589999506,53.14390550000826,53.144003920000976,s,1,0.11506719997851178,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,1,9,1,,,,,53.29275120003149,54.27544490003493,54.27627331999829,s,1,0.12846079998416826,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,2,10,1,,,,,54.44176970003173,55.42487850005273,55.42464062004583,s,1,0.5431852000183426,,,,,,,,kjh,001,2023-09-22_14h45.43.388,Oddball_task,2022.2.5,60.02231628544678,
,,,,,,,,,,,,,,,,56.00708740000846,57.00676140002906,57.00657381999772,,,,,,,,,,,,,,,,,
