trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.keys,response.corr,feedback_text.started,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,201.92957419995219,201.92957419995219,space,52.038296100043226,,,,,,,,,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,0,0,3,,,,,,,,,253.99493659997825,254.99432880000677,254.9938751599635,256.00919549999526,None,0,257.0091083999723,,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,0,,,,,,,,,258.0077532999567,258.99033749999944,258.98977225997953,,None,0,261.0052680000081,,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,1,,,,,,,,,262.0044401999912,262.98683349997737,262.9862451599562,263.9852401999524,s,1,265.001170500007,1.8100507999770343,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,2,,,,,,,,,266.00034009997034,266.98318079998717,266.9824909599498,,s,1,268.99736839998513,1.5665200999937952,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
,,,,,,,,,,,,,,,,,,,,,,,,269.99643379996996,269.99643379996996,space,1.0114557999768294,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,0,0,3,,,,,271.0288411999936,272.02782979997573,272.02763295996704,,s,0,,1.6854659999953583,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,0,,,,,274.0429221999948,275.0255935000023,275.025549859996,,s,1,,1.3145492000039667,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,2,2,3,,,,,277.04026439995505,278.022448099975,278.0227306599496,,None,0,,,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,1,,,,,280.0371499999892,281.0200173999765,281.01949465998916,,s,1,,0.7878399000037462,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,0,,,,,283.034348999965,284.01686360000167,284.0171010599821,,s,1,,1.3291535000316799,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,1,5,0,,,,,286.0316949999542,287.0143577999552,287.01406195994934,,s,1,,1.2824239999754354,,,,,289.02885639999295,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,0,,,,,289.0458599999547,290.0279599999776,290.0274690599996,291.026592899987,s,1,,0.1914468000177294,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,2,,,,,292.0430228000041,293.02491909998935,293.0251340599731,,s,1,,0.300178200006485,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,2,,,,,295.03987009997945,296.0226799999946,296.0219703599811,297.0376927999896,s,1,,1.383404900028836,,,,,,nb,001,2023-09-22_16h01.01.778,Oddball_task,2022.2.5,60.11848150970075,
,,,,,,,,,,,,,,,,298.0370775999618,299.01968430000124,299.01888535994806,,,,,,,,,,,,,,,,,
